Violation #,Track ID,Vehicle Type,Speed (km/h),Speed Limit,Over By,Direction,Timestamp,Frame,Full Frame Path,Plate Path,Plate Text
13,29,car,9.9,5.0,+4.9,approaching,2025-12-24 13:34:04,653,../data/outputs/highway_demo/snapshots/violation_013/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_013/plate.jpg,QU624
14,32,car,7.4,5.0,+2.4,approaching,2025-12-24 13:34:04,657,../data/outputs/highway_demo/snapshots/violation_014/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_014/plate.jpg,AN65JKV
15,42,car,7.4,5.0,+2.4,approaching,2025-12-24 13:34:09,718,../data/outputs/highway_demo/snapshots/violation_015/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_015/plate.jpg,LIZC
16,31,car,8.0,5.0,+3.0,approaching,2025-12-24 13:34:15,790,../data/outputs/highway_demo/snapshots/violation_016/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_016/plate.jpg,DCL
17,45,car,7.6,5.0,+2.6,approaching,2025-12-24 13:34:17,815,../data/outputs/highway_demo/snapshots/violation_017/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_017/plate.jpg,LHISZZC
18,52,car,8.9,5.0,+3.9,approaching,2025-12-24 13:34:22,868,../data/outputs/highway_demo/snapshots/violation_018/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_018/plate.jpg,MFO
19,46,car,7.8,5.0,+2.8,approaching,2025-12-24 13:34:24,884,../data/outputs/highway_demo/snapshots/violation_019/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_019/plate.jpg,DJOZCLX
20,37,car,8.4,5.0,+3.4,approaching,2025-12-24 13:34:31,964,../data/outputs/highway_demo/snapshots/violation_020/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_020/plate.jpg,KBY
21,41,car,9.1,5.0,+4.1,approaching,2025-12-24 13:34:34,996,../data/outputs/highway_demo/snapshots/violation_021/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_021/plate.jpg,EOSWS
22,63,car,9.6,5.0,+4.6,approaching,2025-12-24 13:34:43,1106,../data/outputs/highway_demo/snapshots/violation_022/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_022/plate.jpg,
23,62,car,8.3,5.0,+3.3,approaching,2025-12-24 13:34:46,1142,../data/outputs/highway_demo/snapshots/violation_023/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_023/plate.jpg,LUP
24,54,car,9.4,5.0,+4.4,approaching,2025-12-24 13:34:47,1146,../data/outputs/highway_demo/snapshots/violation_024/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_024/plate.jpg,BP6ELYH
25,59,car,9.8,5.0,+4.8,approaching,2025-12-24 13:34:53,1202,../data/outputs/highway_demo/snapshots/violation_025/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_025/plate.jpg,
26,55,car,8.2,5.0,+3.2,approaching,2025-12-24 13:34:58,1254,../data/outputs/highway_demo/snapshots/violation_026/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_026/plate.jpg,WG6SZFX
27,79,car,10.9,5.0,+5.9,approaching,2025-12-24 13:34:59,1258,../data/outputs/highway_demo/snapshots/violation_027/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_027/plate.jpg,
28,74,car,8.7,5.0,+3.7,approaching,2025-12-24 13:35:04,1301,../data/outputs/highway_demo/snapshots/violation_028/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_028/plate.jpg,C64OOD
29,71,car,7.8,5.0,+2.8,approaching,2025-12-24 13:35:06,1317,../data/outputs/highway_demo/snapshots/violation_029/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_029/plate.jpg,
30,75,car,10.0,5.0,+5.0,approaching,2025-12-24 13:35:14,1389,../data/outputs/highway_demo/snapshots/violation_030/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_030/plate.jpg,CL640G
31,78,car,7.8,5.0,+2.8,approaching,2025-12-24 13:35:15,1395,../data/outputs/highway_demo/snapshots/violation_031/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_031/plate.jpg,LPLLIA
32,80,car,8.0,5.0,+3.0,approaching,2025-12-24 13:35:20,1452,../data/outputs/highway_demo/snapshots/violation_032/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_032/plate.jpg,LPF
33,86,car,11.1,5.0,+6.1,approaching,2025-12-24 13:35:21,1457,../data/outputs/highway_demo/snapshots/violation_033/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_033/plate.jpg,
34,89,car,7.9,5.0,+2.9,approaching,2025-12-24 13:35:28,1521,../data/outputs/highway_demo/snapshots/violation_034/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_034/plate.jpg,EPR
35,91,car,9.6,5.0,+4.6,approaching,2025-12-24 13:35:35,1587,../data/outputs/highway_demo/snapshots/violation_035/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_035/plate.jpg,
36,94,car,9.0,5.0,+4.0,approaching,2025-12-24 13:35:37,1602,../data/outputs/highway_demo/snapshots/violation_036/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_036/plate.jpg,
37,93,car,7.8,5.0,+2.8,approaching,2025-12-24 13:35:42,1648,../data/outputs/highway_demo/snapshots/violation_037/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_037/plate.jpg,
38,87,car,8.3,5.0,+3.3,approaching,2025-12-24 13:35:47,1699,../data/outputs/highway_demo/snapshots/violation_038/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_038/plate.jpg,CEGILYL
39,92,car,7.8,5.0,+2.8,approaching,2025-12-24 13:35:49,1713,../data/outputs/highway_demo/snapshots/violation_039/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_039/plate.jpg,GIF
40,85,car,8.1,5.0,+3.1,approaching,2025-12-24 13:35:52,1739,../data/outputs/highway_demo/snapshots/violation_040/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_040/plate.jpg,
